NCode,Year,Month,difference,Carrier_delay,Weather_delay,NAS_delay,Security_delay,Late_aircraft_delay,inc_dec
1,2018,1,213038,2656,388,1576,12,2409,Increase
1,2018,2,543299,2319,379,2051,8,2583,Increase
1,2018,3,331307,2564,185,1290,15,2376,Increase
1,2018,4,181855,2471,296,1620,8,2472,Increase
1,2018,5,223494,3437,615,2628,8,4364,Increase
1,2018,6,403530,3812,855,2496,11,4993,Increase
1,2018,7,372468,4460,1041,3322,23,5979,Increase
1,2018,8,190444,4167,874,3467,14,5112,Increase
1,2018,9,306910,3188,654,2615,91,3390,Increase
1,2018,10,102344,3266,533,2273,8,3963,Increase
1,2018,11,425640,3070,374,2064,13,2950,Increase
1,2018,12,23306,2694,407,1859,18,2771,Increase
3,2018,1,-124316,3030,227,1387,19,3636,Decrease
3,2018,2,147361,1915,62,1067,7,1882,Increase
3,2018,3,176106,2773,158,1282,18,3092,Increase
3,2018,4,160642,2700,199,1845,9,3955,Increase
3,2018,5,247395,2169,151,1637,12,2848,Increase
3,2018,6,231776,1803,214,1415,9,2511,Increase
3,2018,7,217386,2317,425,2399,11,3850,Increase
3,2018,8,221571,2554,340,2670,25,4149,Increase
3,2018,9,431687,1356,175,1633,5,1732,Increase
3,2018,10,208837,1502,64,1386,3,1513,Increase
3,2018,11,193726,2521,97,1802,12,2816,Increase
3,2018,12,106504,2641,39,1267,8,2715,Increase
2,2018,1,78055,1518,903,1237,1,1440,Increase
2,2018,2,408337,1396,332,884,4,1121,Increase
2,2018,3,449738,1529,402,937,5,1008,Increase
2,2018,4,778066,1579,273,1190,3,1178,Increase
2,2018,5,286368,1850,320,1485,7,1272,Increase
2,2018,6,524062,2587,772,1847,4,2629,Increase
2,2018,7,672989,2062,579,2066,3,2361,Increase
2,2018,8,674764,2116,450,2084,5,2248,Increase
2,2018,9,663548,1310,198,1132,5,927,Increase
2,2018,10,425702,1212,160,800,2,795,Increase
2,2018,11,641953,1565,373,1430,1,1488,Increase
2,2018,12,858999,1143,214,810,1,729,Increase
5,2018,1,180413,1007,330,1241,0,1369,Increase
5,2018,2,322003,891,301,1530,3,1230,Increase
5,2018,3,360759,1198,240,1555,0,1672,Increase
5,2018,4,470806,1242,231,1733,0,2050,Increase
5,2018,5,500525,1665,506,2793,0,3020,Increase
5,2018,6,598469,1916,480,2486,0,3810,Increase
5,2018,7,682700,2237,601,2571,0,4268,Increase
5,2018,8,770099,2439,795,3569,0,4838,Increase
5,2018,9,585443,1435,457,2092,0,2176,Increase
5,2018,10,678829,1374,216,1861,0,2085,Increase
5,2018,11,519847,1625,495,2414,0,2716,Increase
5,2018,12,446852,1516,148,1891,0,2371,Increase
4,2018,1,674047,2821,163,1784,26,4330,Increase
4,2018,2,564615,3275,187,2003,29,5023,Increase
4,2018,3,726088,4085,213,1828,41,6112,Increase
4,2018,4,320771,4677,243,1994,26,7371,Increase
4,2018,5,726284,4796,476,2582,36,8279,Increase
4,2018,6,446746,4654,537,2339,46,7725,Increase
4,2018,7,310518,5524,753,3037,54,9214,Increase
4,2018,8,309689,4664,571,2872,30,7010,Increase
4,2018,9,571322,2738,335,1780,67,4006,Increase
4,2018,10,573149,3236,211,1749,24,4737,Increase
4,2018,11,430077,3729,249,1725,28,5355,Increase
4,2018,12,275356,4408,197,1782,68,6417,Increase
